WELL_ID,WELL_NAME,OPERATOR,PROD_MONTH,DAYS_IN_MONTH,OIL,GAS,WATER
90000000000029,Crimson Queen,Gold Pawn,5/1/2020,31,20465,29156,89777
90000000000029,Crimson Queen,Gold Pawn,6/1/2020,30,20682,25564,54799
90000000000029,Crimson Queen,Gold Pawn,7/1/2020,31,17268,21821,45178
90000000000029,Crimson Queen,Gold Pawn,8/1/2020,31,17002,22517,43911
90000000000029,Crimson Queen,Gold Pawn,9/1/2020,30,14647,20452,37351
90000000000029,Crimson Queen,Gold Pawn,10/1/2020,31,13761,20841,34648
90000000000029,Crimson Queen,Gold Pawn,11/1/2020,30,12659,22450,31473
90000000000029,Crimson Queen,Gold Pawn,12/1/2020,31,12771,25457,31349
90000000000029,Crimson Queen,Gold Pawn,1/1/2021,31,10373,20225,25138
90000000000029,Crimson Queen,Gold Pawn,2/1/2021,28,6496,10638,15551
90000000000029,Crimson Queen,Gold Pawn,3/1/2021,31,11236,20040,26569
90000000000029,Crimson Queen,Gold Pawn,4/1/2021,30,10232,20751,23889
90000000000029,Crimson Queen,Gold Pawn,5/1/2021,31,8978,20382,20696
90000000000029,Crimson Queen,Gold Pawn,6/1/2021,30,7560,16372,17209
90000000000029,Crimson Queen,Gold Pawn,7/1/2021,31,9125,19665,20507
90000000000029,Crimson Queen,Gold Pawn,8/1/2021,31,8296,16256,18405
90000000000029,Crimson Queen,Gold Pawn,9/1/2021,30,8501,19329,18623
90000000000029,Crimson Queen,Gold Pawn,10/1/2021,31,8080,17736,17478
90000000000029,Crimson Queen,Gold Pawn,11/1/2021,30,7056,14688,15069
90000000000029,Crimson Queen,Gold Pawn,12/1/2021,31,6645,14214,14013
90000000000029,Crimson Queen,Gold Pawn,1/1/2022,31,4784,10904,9958
90000000000029,Crimson Queen,Gold Pawn,2/1/2022,28,5398,10210,11100
90000000000029,Crimson Queen,Gold Pawn,3/1/2022,31,7871,13299,15988
90000000000029,Crimson Queen,Gold Pawn,4/1/2022,30,6971,14896,13981
90000000000029,Crimson Queen,Gold Pawn,5/1/2022,31,5237,11497,10372
90000000000029,Crimson Queen,Gold Pawn,6/1/2022,30,5968,11133,11670
90000000000029,Crimson Queen,Gold Pawn,7/1/2022,31,7234,11476,13967
90000000000029,Crimson Queen,Gold Pawn,8/1/2022,31,7121,12786,13572
90000000000029,Crimson Queen,Gold Pawn,9/1/2022,30,5979,12547,11252
90000000000029,Crimson Queen,Gold Pawn,10/1/2022,31,5589,11889,10386
90000000000029,Crimson Queen,Gold Pawn,11/1/2022,30,5058,9662,9279
90000000000029,Crimson Queen,Gold Pawn,12/1/2022,31,4691,9459,8499
90000000000029,Crimson Queen,Gold Pawn,1/1/2023,31,4924,9528,8805
90000000000029,Crimson Queen,Gold Pawn,2/1/2023,28,4991,8791,8817
90000000000029,Crimson Queen,Gold Pawn,3/1/2023,31,5604,10442,9780
90000000000029,Crimson Queen,Gold Pawn,4/1/2023,30,5117,10360,8817
90000000000029,Crimson Queen,Gold Pawn,5/1/2023,31,5090,10055,8659
90000000000029,Crimson Queen,Gold Pawn,6/1/2023,30,4859,8669,8163
90000000000029,Crimson Queen,Gold Pawn,7/1/2023,31,4685,7482,7771
90000000000029,Crimson Queen,Gold Pawn,8/1/2023,31,5247,7447,8591
90000000000029,Crimson Queen,Gold Pawn,9/1/2023,30,5000,8090,8083
90000000000029,Crimson Queen,Gold Pawn,10/1/2023,31,5792,12910,9246
90000000000029,Crimson Queen,Gold Pawn,11/1/2023,30,4444,9086,7005
90000000000029,Crimson Queen,Gold Pawn,12/1/2023,31,5568,11440,8665
90000000000029,Crimson Queen,Gold Pawn,1/1/2024,31,5483,11457,8423
90000000000029,Crimson Queen,Gold Pawn,2/1/2024,29,4732,10523,7180
90000000000029,Crimson Queen,Gold Pawn,3/1/2024,31,5436,11029,8146
90000000000029,Crimson Queen,Gold Pawn,4/1/2024,30,4831,9824,7147
90000000000029,Crimson Queen,Gold Pawn,5/1/2024,31,5059,10738,7391
90000000000029,Crimson Queen,Gold Pawn,6/1/2024,30,4292,12614,6190
90000000000029,Crimson Queen,Gold Pawn,7/1/2024,31,3542,10440,5044
90000000000029,Crimson Queen,Gold Pawn,8/1/2024,31,3781,8612,5316
90000000000029,Crimson Queen,Gold Pawn,9/1/2024,30,3128,6604,4343
90000000000029,Crimson Queen,Gold Pawn,10/1/2024,31,4941,8244,6773
90000000000029,Crimson Queen,Gold Pawn,11/1/2024,30,5035,8200,6814
90000000000029,Crimson Queen,Gold Pawn,12/1/2024,31,3699,6707,4944
90000000000029,Crimson Queen,Gold Pawn,1/1/2025,31,2444,5375,3225
90000000000029,Crimson Queen,Gold Pawn,2/1/2025,28,2908,5322,3789
90000000000029,Crimson Queen,Gold Pawn,3/1/2025,31,4409,7001,5676
90000000000029,Crimson Queen,Gold Pawn,4/1/2025,30,4314,7647,5484
90000000000029,Crimson Queen,Gold Pawn,5/1/2025,31,4475,9038,5617
90000000000029,Crimson Queen,Gold Pawn,6/1/2025,30,4504,9218,5581
90000000000029,Crimson Queen,Gold Pawn,7/1/2025,31,4560,9092,5579
90000000000029,Crimson Queen,Gold Pawn,8/1/2025,31,4638,9106,5602
90000000000029,Crimson Queen,Gold Pawn,9/1/2025,30,4372,8806,5215
90000000000029,Crimson Queen,Gold Pawn,10/1/2025,31,4468,7021,5261
90000000000029,Crimson Queen,Gold Pawn,11/1/2025,30,4268,7312,4962
90000000000029,Crimson Queen,Gold Pawn,12/1/2025,31,5330,9194,6119
90000000000029,Crimson Queen,Gold Pawn,1/1/2026,31,5722,9543,6485
90000000000029,Crimson Queen,Gold Pawn,2/1/2026,28,4736,8528,5302
90000000000029,Crimson Queen,Gold Pawn,3/1/2026,31,4301,8384,4756
90000000000041,Blue Knight,Gold Pawn,4/1/2021,30,24632,17304,106035
90000000000041,Blue Knight,Gold Pawn,5/1/2021,31,25585,15991,77638
90000000000041,Blue Knight,Gold Pawn,6/1/2021,30,17695,10900,53624
90000000000041,Blue Knight,Gold Pawn,7/1/2021,31,14583,8943,44134
90000000000041,Blue Knight,Gold Pawn,8/1/2021,31,11917,11406,36016
90000000000041,Blue Knight,Gold Pawn,9/1/2021,30,11228,12395,33889
90000000000041,Blue Knight,Gold Pawn,10/1/2021,31,10960,8702,33035
90000000000041,Blue Knight,Gold Pawn,11/1/2021,30,9644,6478,29030
90000000000041,Blue Knight,Gold Pawn,12/1/2021,31,8891,5724,26727
90000000000041,Blue Knight,Gold Pawn,1/1/2022,31,8037,8223,24127
90000000000041,Blue Knight,Gold Pawn,2/1/2022,28,7317,5901,21937
90000000000041,Blue Knight,Gold Pawn,3/1/2022,31,4511,3733,13507
90000000000041,Blue Knight,Gold Pawn,4/1/2022,30,6698,2840,20028
90000000000041,Blue Knight,Gold Pawn,5/1/2022,31,11202,9927,33451
90000000000041,Blue Knight,Gold Pawn,6/1/2022,30,13233,12898,39463
90000000000041,Blue Knight,Gold Pawn,7/1/2022,31,10680,11507,31807
90000000000041,Blue Knight,Gold Pawn,8/1/2022,31,9324,10687,27731
90000000000041,Blue Knight,Gold Pawn,9/1/2022,30,3663,5359,10880
90000000000041,Blue Knight,Gold Pawn,10/1/2022,31,3364,4216,9978
90000000000041,Blue Knight,Gold Pawn,11/1/2022,30,3700,4297,10960
90000000000041,Blue Knight,Gold Pawn,12/1/2022,31,3827,3754,11321
90000000000041,Blue Knight,Gold Pawn,1/1/2023,31,3802,2598,11232
90000000000041,Blue Knight,Gold Pawn,2/1/2023,28,4932,2463,14551
90000000000041,Blue Knight,Gold Pawn,3/1/2023,31,6943,3480,20458
90000000000041,Blue Knight,Gold Pawn,4/1/2023,30,9462,7175,27843
90000000000041,Blue Knight,Gold Pawn,5/1/2023,31,5398,4060,15863
90000000000041,Blue Knight,Gold Pawn,6/1/2023,30,3055,2322,8966
90000000000041,Blue Knight,Gold Pawn,7/1/2023,31,6148,5231,18019
90000000000041,Blue Knight,Gold Pawn,8/1/2023,31,5034,5000,14734
90000000000041,Blue Knight,Gold Pawn,9/1/2023,30,5885,7787,17201
90000000000041,Blue Knight,Gold Pawn,10/1/2023,31,4879,4903,14242
90000000000041,Blue Knight,Gold Pawn,11/1/2023,30,5512,8077,16068
90000000000041,Blue Knight,Gold Pawn,12/1/2023,31,4680,6722,13624
90000000000041,Blue Knight,Gold Pawn,1/1/2024,31,5184,4669,15071
90000000000041,Blue Knight,Gold Pawn,2/1/2024,29,5067,4762,14711
90000000000041,Blue Knight,Gold Pawn,3/1/2024,31,5048,5911,14637
90000000000041,Blue Knight,Gold Pawn,4/1/2024,30,3801,3370,11006
90000000000041,Blue Knight,Gold Pawn,5/1/2024,31,4407,5166,12744
90000000000041,Blue Knight,Gold Pawn,6/1/2024,30,3424,4103,9888
90000000000041,Blue Knight,Gold Pawn,7/1/2024,31,3404,5032,9817
90000000000041,Blue Knight,Gold Pawn,8/1/2024,31,2813,4714,8102
90000000000041,Blue Knight,Gold Pawn,9/1/2024,30,2366,5493,6805
90000000000041,Blue Knight,Gold Pawn,10/1/2024,31,2111,2585,6064
90000000000041,Blue Knight,Gold Pawn,11/1/2024,30,2731,1896,7834
90000000000041,Blue Knight,Gold Pawn,12/1/2024,31,2486,2755,7122
90000000000041,Blue Knight,Gold Pawn,1/1/2025,31,2671,4827,7641
90000000000041,Blue Knight,Gold Pawn,2/1/2025,28,2591,3794,7403
90000000000041,Blue Knight,Gold Pawn,3/1/2025,31,2732,2903,7795
90000000000041,Blue Knight,Gold Pawn,4/1/2025,30,4569,270,13019
90000000000041,Blue Knight,Gold Pawn,5/1/2025,31,4353,11236,12387
90000000000041,Blue Knight,Gold Pawn,6/1/2025,30,4066,8759,11555
90000000000041,Blue Knight,Gold Pawn,7/1/2025,31,3669,7065,10413
90000000000041,Blue Knight,Gold Pawn,8/1/2025,31,3205,3908,9084
90000000000041,Blue Knight,Gold Pawn,9/1/2025,30,3134,5966,8871
90000000000041,Blue Knight,Gold Pawn,10/1/2025,31,2868,4772,8107
90000000000041,Blue Knight,Gold Pawn,11/1/2025,30,2817,6054,7952
90000000000041,Blue Knight,Gold Pawn,12/1/2025,31,2003,4296,5647
90000000000041,Blue Knight,Gold Pawn,1/1/2026,31,2662,4020,7494
90000000000041,Blue Knight,Gold Pawn,2/1/2026,28,2534,4732,7125
90000000000041,Blue Knight,Gold Pawn,3/1/2026,31,1697,2763,4765
90000000000070,Purple Bishop,Slate King,1/1/2020,31,8198,25646,39384
90000000000070,Purple Bishop,Slate King,2/1/2020,29,34652,246161,133965
90000000000070,Purple Bishop,Slate King,3/1/2020,31,25230,189991,89974
90000000000070,Purple Bishop,Slate King,4/1/2020,30,17641,135199,62966
90000000000070,Purple Bishop,Slate King,5/1/2020,31,9702,78235,34659
90000000000070,Purple Bishop,Slate King,6/1/2020,30,13756,121248,49186
90000000000070,Purple Bishop,Slate King,7/1/2020,31,11774,105668,42135
90000000000070,Purple Bishop,Slate King,8/1/2020,31,10535,93270,37735
90000000000070,Purple Bishop,Slate King,9/1/2020,30,9211,78823,33022
90000000000070,Purple Bishop,Slate King,10/1/2020,31,9134,81330,32774
90000000000070,Purple Bishop,Slate King,11/1/2020,30,7921,64802,28445
90000000000070,Purple Bishop,Slate King,12/1/2020,31,7201,62784,25883
90000000000070,Purple Bishop,Slate King,1/1/2021,31,7469,62540,26871
90000000000070,Purple Bishop,Slate King,2/1/2021,28,5423,39222,19525
90000000000070,Purple Bishop,Slate King,3/1/2021,31,7285,56712,26253
90000000000070,Purple Bishop,Slate King,4/1/2021,30,6695,50922,24147
90000000000070,Purple Bishop,Slate King,5/1/2021,31,6301,46504,22748
90000000000070,Purple Bishop,Slate King,6/1/2021,30,6054,37390,21875
90000000000070,Purple Bishop,Slate King,7/1/2021,31,6054,38418,21892
90000000000070,Purple Bishop,Slate King,8/1/2021,31,5840,34671,21139
90000000000070,Purple Bishop,Slate King,9/1/2021,30,5406,33446,19586
90000000000070,Purple Bishop,Slate King,10/1/2021,31,5553,34653,20133
90000000000070,Purple Bishop,Slate King,11/1/2021,30,5359,32385,19447
90000000000070,Purple Bishop,Slate King,12/1/2021,31,4873,31633,17701
90000000000070,Purple Bishop,Slate King,1/1/2022,31,5465,31028,19866
90000000000070,Purple Bishop,Slate King,2/1/2022,28,4143,26396,15075
90000000000070,Purple Bishop,Slate King,3/1/2022,31,5206,32499,18958
90000000000070,Purple Bishop,Slate King,4/1/2022,30,4627,32891,16866
90000000000070,Purple Bishop,Slate King,5/1/2022,31,3937,27351,14363
90000000000070,Purple Bishop,Slate King,6/1/2022,30,4333,24817,15822
90000000000070,Purple Bishop,Slate King,7/1/2022,31,4074,26140,14887
90000000000070,Purple Bishop,Slate King,8/1/2022,31,4507,29983,16486
90000000000070,Purple Bishop,Slate King,9/1/2022,30,4268,26295,15624
90000000000070,Purple Bishop,Slate King,10/1/2022,31,4220,25003,15464
90000000000070,Purple Bishop,Slate King,11/1/2022,30,3970,25150,14557
90000000000070,Purple Bishop,Slate King,12/1/2022,31,4069,25310,14934
90000000000070,Purple Bishop,Slate King,1/1/2023,31,3676,22770,13506
90000000000070,Purple Bishop,Slate King,2/1/2023,28,3342,19230,12287
90000000000070,Purple Bishop,Slate King,3/1/2023,31,3931,23659,14467
90000000000070,Purple Bishop,Slate King,4/1/2023,30,3617,22812,13323
90000000000070,Purple Bishop,Slate King,5/1/2023,31,3583,21042,13207
90000000000070,Purple Bishop,Slate King,6/1/2023,30,3384,19306,12485
90000000000070,Purple Bishop,Slate King,7/1/2023,31,3397,17907,12545
90000000000070,Purple Bishop,Slate King,8/1/2023,31,3620,17840,13379
90000000000070,Purple Bishop,Slate King,9/1/2023,30,3141,16795,11620
90000000000070,Purple Bishop,Slate King,10/1/2023,31,3361,16890,12446
90000000000070,Purple Bishop,Slate King,11/1/2023,30,3133,17265,11610
90000000000070,Purple Bishop,Slate King,12/1/2023,31,3145,17175,11667
90000000000070,Purple Bishop,Slate King,1/1/2024,31,3146,16552,11680
90000000000070,Purple Bishop,Slate King,2/1/2024,29,3097,15647,11506
90000000000070,Purple Bishop,Slate King,3/1/2024,31,3205,16747,11918
90000000000070,Purple Bishop,Slate King,4/1/2024,30,3095,15304,11520
90000000000070,Purple Bishop,Slate King,5/1/2024,31,2793,14543,10405
90000000000070,Purple Bishop,Slate King,6/1/2024,30,2926,13304,10909
90000000000070,Purple Bishop,Slate King,7/1/2024,31,2865,13128,10690
90000000000070,Purple Bishop,Slate King,8/1/2024,31,2936,14075,10968
90000000000070,Purple Bishop,Slate King,9/1/2024,30,2850,13049,10655
90000000000070,Purple Bishop,Slate King,10/1/2024,31,2725,12951,10194
90000000000070,Purple Bishop,Slate King,11/1/2024,30,2865,12794,10728
90000000000070,Purple Bishop,Slate King,12/1/2024,31,2810,12293,10533
90000000000070,Purple Bishop,Slate King,1/1/2025,31,2681,12016,10059
90000000000070,Purple Bishop,Slate King,2/1/2025,28,2260,9802,8487
