WELL_ID,WELL_NAME,STATE,COUNTY,OPERATOR,HORIZ_VERT,RESERVOIR,FIRST_PROD_DATE,TVD,MD,SPUD_DATE,COMP_DATE,SPUD_TO_COMP,UPR_PERF,LWR_PERF,LAT_LENGTH
90000000000037,Crimson King,TX,REEVES,Slate King,H,WOLFCAMP,2/1/2026,11159,22262,10/1/2016,5/1/2017, 212 ,11667,22169,10502
90000000000065,Maroon King,TX,REEVES,Gold Pawn,H,WOLFCAMP,4/1/2022,10340,20640,9/1/2021,5/1/2022, 242 ,10490,20527,10037
90000000000004,Ivory Knight,TX,REEVES,Gold Pawn,H,WOLFCAMP,1/1/2020,10375,17851,5/1/2019,2/1/2020, 276 ,11126,17730,6604
90000000000043,Coral Knight,TX,REEVES,Gold Pawn,H,WOLFCAMP,1/1/2020,10386,18720,6/1/2019,2/1/2020, 245 ,10606,18630,8024
90000000000070,Purple Bishop,TX,REEVES,Slate King,H,WOLFCAMP,1/1/2020,10849,17467,9/1/2019,3/1/2020, 182 ,11482,17374,5892
90000000000045,White Queen,TX,REEVES,Gold Pawn,H,WOLFCAMP,5/1/2020,10419,20244,11/1/2019,6/1/2020, 213 ,10590,20158,9568
90000000000032,Black Rook,TX,REEVES,Gold Pawn,H,WOLFCAMP,5/1/2020,10630,20935,11/1/2019,6/1/2020, 213 ,10937,20837,9900
90000000000074,Scarlet Bishop,TX,REEVES,Slate King,H,WOLFCAMP,1/1/2020,10748,21600,6/1/2019,3/1/2020, 274 ,11063,21496,10433
90000000000036,Bronze Pawn,TX,REEVES,Slate King,H,WOLFCAMP,1/1/2020,10846,16250,7/1/2019,9/1/2019, 62 ,11074,16143,5069
90000000000072,Gold Queen,TX,REEVES,Slate King,H,WOLFCAMP,1/1/2020,11114,16957,9/1/2019,11/1/2019, 61 ,11301,16853,5552
90000000000017,Yellow Knight,TX,REEVES,Slate King,H,WOLFCAMP,1/1/2020,10738,19356,9/1/2019,3/1/2020, 182 ,11232,19153,7921
90000000000047,Violet Pawn,TX,REEVES,Slate King,H,WOLFCAMP,1/1/2020,10893,19328,9/1/2019,3/1/2020, 182 ,11226,19153,7927
90000000000077,Blue Queen,TX,REEVES,Slate King,H,WOLFCAMP,10/1/2020,10862,19849,1/1/2020,11/1/2020, 305 ,11246,19678,8432
90000000000002,Purple King,TX,REEVES,Slate King,H,WOLFCAMP,10/1/2020,10908,18890,12/1/2019,11/1/2020, 336 ,11306,18773,7467
90000000000056,Azure Pawn,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2020,10900,19760,12/1/2019,10/1/2020, 305 ,11274,19599,8325
90000000000029,Crimson Queen,TX,REEVES,Gold Pawn,H,WOLFCAMP,5/1/2020,10384,20410,12/1/2019,6/1/2020, 183 ,10583,20270,9687
90000000000073,Green Rook,TX,REEVES,Gold Pawn,H,WOLFCAMP,5/1/2020,10619,20310,12/1/2019,6/1/2020, 183 ,10854,20180,9326
90000000000034,Ivory Pawn,TX,REEVES,Gold Pawn,H,WOLFCAMP,2/1/2020,9971,18166,11/1/2019,3/1/2020, 121 ,13900,17941,4041
90000000000013,Blue Bishop,TX,REEVES,Gold Pawn,H,WOLFCAMP,8/1/2020,10376,20711,12/1/2019,9/1/2020, 275 ,10808,20576,9768
90000000000081,Black Knight,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2020,10854,17885,1/1/2020,10/1/2020, 274 ,11223,17783,6560
90000000000085,Green King,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2020,10939,18070,1/1/2020,10/1/2020, 274 ,11226,17921,6695
90000000000090,Amber Knight,TX,REEVES,Gold Pawn,H,WOLFCAMP,8/1/2020,10110,20484,1/1/2020,9/1/2020, 244 ,10591,20325,9734
90000000000018,Olive Bishop,TX,REEVES,Slate King,H,WOLFCAMP,4/1/2020,10841,21870,1/1/2020,3/1/2020, 60 ,10609,21103,10494
90000000000061,Bronze Rook,TX,WARD,Crimson Knight,H,WOLFCAMP,1/1/2021,12083,21760,4/1/2020,2/1/2021, 306 ,12450,21626,9176
90000000000050,Amber King,TX,WARD,Crimson Knight,H,WOLFCAMP,1/1/2021,12162,22031,4/1/2020,2/1/2021, 306 ,12450,21818,9368
90000000000054,Blue Pawn,TX,WARD,Crimson Knight,H,WOLFCAMP,1/1/2021,12103,22437,4/1/2020,2/1/2021, 306 ,12441,22262,9821
90000000000051,Yellow Bishop,TX,REEVES,Slate King,H,WOLFCAMP,3/1/2021,11108,18015,3/1/2020,4/1/2021, 396 ,11482,17892,6410
90000000000010,Black Queen,TX,REEVES,Slate King,H,WOLFCAMP,3/1/2021,11128,18181,4/1/2020,4/1/2021, 365 ,11541,18104,6563
90000000000041,Blue Knight,TX,REEVES,Gold Pawn,H,WOLFCAMP,4/1/2021,10330,18920,11/1/2020,4/1/2021, 151 ,10562,18766,8204
90000000000067,Scarlet King,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2021,10860,21045,4/1/2020,10/1/2021, 548 ,11060,20954,9894
90000000000069,Bronze Knight,TX,REEVES,Slate King,H,WOLFCAMP,9/1/2021,10820,21402,4/1/2020,10/1/2021, 548 ,11031,21350,10319
